Word,Count
got,17
hook,17
restarts,17
apache,17
empty,17
handles,17
&,17
2,17
normal,17
passed,17
network,17
starting,17
Number,17
deal,17
response,17
open,17
Pool,17
Note,17
#define,17
type,17
returned,17
So,17
note,16
simply,16
stop,16
values,16
every,16
terminate,16
AP_SIG_GRACEFUL,16
real,16
old,16
received,16
processing,16
cleanup,16
tty,16
good,16
goes,16
whole,16
common,16
phase,16
gets,16
hit,16
handled,15
register,15
entire,15
record,15
started,15
order,15
hasn't,15
go,15
filters,15
table,15
cause,15
being,15
char,15
status,15
level,15
were,15
input,15
result,15
files,15
control,15
kernel,15
sending,15
global,15
prevent,14
safe,14
ensure,14
limit,14
hooks,14
@addtogroup,14
temporary,14
zero,14
listeners,14
Windows,14
subrequest,14
ServerName,14
active,14
well,14
These,14
whitespace,14
take,14
cache,14
--,14
Start,14
hash,14
failure,14
TODO:,14
available,14
SIGTERM,14
IPv6,14
prior,14
long,14
pretty,14
cycle,14
very,14
vhost,14
uses,14
remaining,13
calls,13
fewer,13
reading,13
host,13
EOS,13
\0,\,13
internal,13
HTTP,13
continue,13
catch,13
/,13
\processes,\,13
handling,13
left,13
initialize,13
override,13
nothing,13
leave,13
instead,13
whether,13
able,13
space,13
SIGHUP,13
bother,13
otherwise,13
Kill,13
dead,13
byte,13
addresses,13
lifetime,12
Find,12
names,12
thing,12
completion,12
free,12
point,12
added,12
There,12
reporting,12
twice,12
small,12
blocked,12
caller,12
Unix,12
finished,12
stack,12
length,12
resources,12
rather,12
store,12
.htaccess,12
###:,12
waiting,12
To,12
Set,12
Check,12
(or,12
Since,12
test,12
via,12
fix,12
utf-ize,12
provided,12
scan,12
keeps,12
reason,12
those,12
element,12
static,12
mutex,11
partial,11
logs,11
hidden,11
method,11
bunch,11
debugging,11
simple,11
checking,11
crashing,11
poll,11
resource,11
allowed,11
signaled,11
redirected,11
>,11
chain,11
path_info,11
few,11
merged,11
action,11
No,11
listening,11
maximum,11
\set,\,11
logged,11
Only,11
total,11
save,11
Time,11
strip,11
==>,11
API,11
routine,11
Limit,11
manager,11
gracefully,11
place,11
I,11
appear,11
hold,10
sections,10
symlink,10
creating,10
existing,10
\request,\,10
anyway,10
fill,10
\exited,\,10
null,10
termination,10
body,10
That,10
Worker,10
All,10
specified,10
looking,10
sort,10
Wait,10
even,10
\However,\,10
there's,10
aren't,10
section,10
include,10
script,10
write,10
variable,10
busy,10
\it,\,10
problem,10
anything,10
arguments,10
overhead,10
appropriate,10
protocol,10
listen,10
(which,10
future,10
Otherwise,10
Initialize,10
against,10
URI,10
routines,10
changes,10
lot,10
\error,\,9
blocking,9
(and,9
consider,9
worrying,9
ourselves,9
events,9
initial,9
leading,9
lines,9
get_remote_host,9
walk,9
instance,9
OS,9
descriptors,9
advance,9
report,9
relative,9
install,9
info,9
necessary,9
pick,9
forever,9
clear,9
Where,9
warning,9
attempts,9
stored,9
better,9
matching,9
pod,9
notice,9
characters,9
!=,9
nice,9
Make,9
AND,9
Copyright,9
we'd,9
special,9
round-robin,9
globals,9
apr_table_t,9
argument,9
fetch,9
allocate,9
virtual,9
immediately,9
onto,9
written,9
\file,\,9
recycled,9
locked,9
machine,9
Keep,9
matched,9
MaxClients,9
determine,9
systems,9
environment,9
index,9
terminating,9
Get,9
An,9
\string,\,9
replace,9
ungraceful,8
defaults,8
HandlerRoutine,8
child_main,8
blocks,8
NT,8
returning,8
clients,8
wasn't,8
yet,8
accepts,8
WIN32,8
open_logs,8
s,8
seems,8
wrong,8
macro,8
during,8
shouldn't,8
happens,8
did,8
item,8
variables,8
WinNT,8
fd,8
help,8
<=,8
canonical,8
accepted,8
whatever,8
further,8
begin,8
ap_threads_per_child,8
************************************************,8
key,8
fatal,8
everything,8
put,8
process's,8
due,8
definitions,8
NOTE:,8
CPU,8
critical,8
filename,8
directly,8
SCM,8
expected,8
SERVER_STARTING,8
reuse,8
fail,8
},8
bind,8
\function,\,8
'/',8
{,8
allows,8
checks,8
Win9x,8
Each,8
fd_queue_t,8
Child,8
const,8
join,8
registered,8
rest,8
Rob,8
University,8
ThreadLimit,8
It's,8
logic,7
pollset,7
private,7
contains,7
Remember,7
First,7
purpose,7
complete,7
\line,\,7
grab,7
one_process,7
syntax,7
part,7
likely,7
continuation,7
\time,\,7
procedure,7
*free*,7
Send,7
init,7
descriptor,7
had,7
working,7
location,7
indicate,7
lost,7
permission,7
target,7
append,7
strings,7
c:/a/b,7
content,7
changed,7
exiting,7
name_chain,7
\parent,\,7
defined,7
little,7
main/parent,7
insert,7
node,7
Minimum,7
@defgroup,7
\microseconds,\,7
Use,7
occur,7
NOT,7
ordering,7
FIXME:,7
top,7
correct,7
exits,7
subclass,7
invoked,7
requires,7
\Interval,\,7
\name,\,7
ap_mpm_run(),7
APACHE_MPM,7
hard,7
Atomically,7
associated,7
unless,7
passes,7
AP_MPM_DEFAULT_H,7
completely,7
Tell,7
and/or,7
\checks,\,7
sync,7
parses,7
move,7
beginning,7
logging,7
\first,\,7
\enough,\,7
PID,7
slots,7
absolute,7
down:,7
(e.g,7
soon,7
told,7
useful,7
Maximum,7
turn,7
Handle,7
THE,7
RFC,7
Service,7
(because,7
almost,7
looks,7
Linux,7
httpd,7
sense,7
sets,7
flags,7
option,7
redirect,7
proper,7
perform,7
writes,7
entries,7
seriously,7
configured,7
@ingroup,7
Some,7
Close,6
lookup,6
performance,6
based,6
who,6
volatile,6
\that,\,6
Note:,6
Do,6
TCP,6
you're,6
why,6
stuck,6
creates,6
valid,6
security,6
define,6
haven't,6
\out,\,6
3,6
neither,6
kept,6
depend,6
r->filename,6
pop,6
ignoring,6
compile-time,6
listener_may_exit,6
\yet,\,6
VER_PLATFORM_WIN32_NT,6
caretaker,6
accept(),6
\again,\,6
\server,\,6
APR_CHARSET_EBCDIC,6
translated,6
reasons,6
Win32,6
platforms,6
\termination,\,6
\so,\,6
segment,6
slashes,6
FollowSymLinks,6
worth,6
:),6
missing,6
loaded,6
together,6
none,6
Read,6
IN,6
NCSA,6
TPF,6
cleaned,6
attempt,6
restart;,6
short,6
n,6
ready,6
binary,6
runs,6
tried,6
spawned,6
browsers,6
\otherwise,\,6
utility,6
executable,6
connected,6
\brigade,\,6
Returns,6
search,6
\Otherwise,\,6
..,6
reached,6
e.g,6
IPv4,6
Connection,6
lock,6
\case,\,6
\also,\,6
terminated,6
\child_exit,\,6
Skip,6
+,6
pools,6
ServerLimit,6
Signal,6
component,6
say,6
gone,6
point;,6
->,6
Host:,6
parsed_uri,6
optimize,6
conditions,6
destroy,6
non-graceful,6
(see,6
commands,6
etc..,6
recover,6
coming,6
C-L,6
properly,6
URL,6
exist,6
update,6
decide,6
arg,6
etc,6
reach,6
construct,6
chance,6
\code,\,6
format,6
cache_element,6
switch,6
plog,6
-djg,6
inherited,6
\die,\,6
listed,6
early,6
\servers,\,6
content-type,6
times,6
force,6
group,6
they're,6
Remove,6
successful,6
typos,6
less,6
including,6
\(e.g.,\,6
maybe,6
getting,6
release,6
ap_start_shutdown(),6
options,6
contents,6
'em,6
osver.dwPlatformId,5
accepting,5
look,5
position,5
\MAX_SPAWN_RATE,\,5
\hook,\,5
nor,5
ones,5
currently,5
solely,5
segments,5
SIGPIPE,5
finish,5
serious,5
\path,\,5
Necessary,5
sanity,5
WM_ENDSESSION,5
AcceptEx,5
form,5
transaction,5
eg:,5
Shutdown,5
cleared,5
POST,5
parser,5
originally,5
\assigned,\,5
seconds,5
\point,\,5
\down,\,5
\(i.e.,\,5
threadsafe,5
prefix,5
tells,5
What,5
outside,5
ip,5
Probably,5
Go,5
free_list,5
provides,5
select,5
behavior,5
buffers,5
\sockets,\,5
ErrorDocument,5
standard,5
Once,5
BeOS,5
simplifies,5
successfully,5
restart(),5
bigstring,5
stopped,5
stat,5
couldn't,5
2),5
users,5
hostname,5
FOR,5
Setting,5
DNS,5
sources,5
GLA,5
couple,5
sends,5
filling,5
\up,\,5
frees,5
truncate,5
writing,5
StartService(),5
\logging,\,5
parse,5
uri,5
identifier,5
McCool,5
saved,5
IP,5
\non-comma,\,5
initializes,5
\Therefore,\,5
\walked,\,5
ThreadsPerChild,5
\NULL,\,5
Add,5
APR,5
tune,5
unblock,5
attention,5
actual,5
doubled,5
dir,5
directory_walk,5
packets,5
silly,5
served,5
three,5
\Um,\,5
app's,5
pending,5
assure,5
text,5
particular,5
Admin,5
Grab,5
remember,5
token,5
forking,5
updated,5
operation,5
exec,5
ipaddr_chain,5
(as,5
container,5
your,5
max,5
\mode,\,5
register_hooks,5
worry,5
post_config,5
model,5
break,5
storage,5
regular,5
class,5
build,5
closed,5
\"\\,5
HTTP/1.1,5
linked,5
Code,5
care,5
implementation,5
graceful_restart,5
hand,5
(if,5
expression,5
local,5
NULL;,5
\structure,\,5
Something,5
\change,\,5
*),5
intended,5
elements,5
NameVirtualHost,5
\connection,\,5
IDLE,5
service_name,5
&&,5
\header,\,5
closes,5
overrides,5
delay,5
source,5
Fix,5
opts,5
that's,5
(C),5
belongs,5
trash,5
causes,5
Ensure,5
setup,5
different,5
escape,5
ports,5
invisible,5
broken,5
makes,5
explicit,5
disable,5
1),5
serverroot,5
THIS,5
initialized,5
permitted,5
beyond,5
\done,\,5
\wrong,\,5
named,5
exited,5
snapshot,5
fell,5
database,5
preserved,5
Ignore,5
assumption,5
final,5
\signals,\,5
LF,5
read_config,5
vars,5
gave,5
replacement,5
Allocate,5
adding,5
name-based,5
inside,5
\/a/b,\,5
detected,5
here..,5
accounting..,5
master_main,5
d,5
require,5
crash,4
rapidly..,4
business,4
correctly,4
code..,4
penalty,4
On,4
NO,4
join_workers(),4
name-vhost,4
\off,\,4
usually,4
algorithm,4
\sigh,\,4
Is,4
clone,4
attach,4
requested,4
containing,4
read(),4
although,4
startup/shutdown,4
making,4
Open,4
\syscall,\,4
getpid(),4
iovecs,4
compiler,4
Give,4
parents,4
Main,4
Nagle,4
hosts,4
app,4
handlers,4
best,4
course,4
binds,4
charset,4
rst,4
removed,4
maxxed,4
logger,4
pathological,4
individual,4
UDP,4
client_data,4
configure,4
closing,4
\window,\,4
starts,4
int,4
far,4
comment,4
\locking,\,4
signal_threads(),4
mutexes,4
\handlers,\,4
aliases,4
missed,4
enable,4
non-fatal,4
dir_walk,4
admin,4
contexts,4
receives,4
waking,4
\children,\,4
Server,4
exploded,4
\address,\,4
various,4
signal_parent(),4
def,4
non-zero,4
Reset,4
monitor,4
APACHE_MPM_EVENT,4
\Great,\,4
\Secondly,\,4
destroyed,4
pre-config,4
They,4
CGI,4
exists,4
\itself,\,4
As,4
\core's,\,4
\well,\,4
lstat(),4
cleanups,4
\group,\,4
tests,4
kicking,4
stdout,4
child's,4
link,4
mean,4
struct,4
exit(),4
dummy,4
though,4
Before,4
responsible,4
Structure,4
\list,\,4
translation,4
components,4
httpd.conf,4
server_rec,4
allocated,4
layer,4
quick,4
ServerRoot,4
stdin,4
Carnegie,4
||,4
threaded,4
disconnected,4
\dies,\,4
Exported,4
\below,\,4
\second,\,4
http_main,4
'%',4
pconf,4
\stop,\,4
certain,4
Here,4
triggered,4
SERVER_READY,4
lets,4
plain,4
interrupted,4
non-whitespace,4
\quickly,\,4
blank,4
occured,4
registers,4
ensures,4
extension,4
race,4
ok,4
\empty,\,4
compute,4
\subrequest,\,4
registry,4
Just,4
benefit,4
\above,\,4
suddenly,4
_probably_,4
\Unix,\,4
platform,4
APACHE_MPM_WINNT,4
Listen,4
pthreads,4
perhaps,4
Take,4
\bucket,\,4
become,4
-d,4
\restart,\,4
non-white,4
**,4
\sections,\,4
bomb,4
recursion,4
bookkeeping,4
forget,4
\thread,\,4
Save,4
rate,4
per-transaction,4
APACHE_MPM_WORKER,4
stealing,4
\r->filename,\,4
unsigned,4
whose,4
works,4
Somehow,4
situations,4
notify,4
ap_rgetline,4
slack,4
determined,4
died,4
says,4
Truncate,4
1-for-1,4
r->per_dir_config,4
-aaron,4
made,4
people,4
version,4
-1,4
would-be,4
Not,4
\failed,\,4
@param,4
SSL,4
\Win32,\,4
\new,\,4
larger,4
HUPs,4
mistakenly,4
screen,4
starve,4
Also,4
swamp,4
reaped..,4
Clean,4
ap_queue_pop(),4
directives,4
hopefully,4
stderr_pool,4
idle_spawn_rate,4
atom,4
pertaining,4
dispatch,4
worse,4
htaccess,4
succeed,4
up),4
Mellon,4
desired,4
runservice,4
AP_SIG_GRACEFUL),4
finished;,4
workers_may_exit,4
Initialise,4
cleans,4
earlier,4
takes,4
hits,4
Many,4
NUL,4
File,4
provide,4
exponential,4
From,4
initialization,4
supposed,4
finds,4
Detects,4
happened,4
attempting,4
\directives,\,4
\ago,\,4
cases,4
\filter,\,4
VirtualHost,4
DEFAULT_REL_RUNTIMEDIR,4
\is,\,4
numbered,4
hmodLock,4
trigger,4
thrash..,4
exact,4
pathname,4
\argument,\,4
finite,4
IMPLIED,4
\specific,\,4
ThreadDispatch,4
aside,4
symlinks,4
Last-Modified,4
Ben,4
filesystem,4
indicates,4
\socket,\,4
\buckets,\,4
pre_config,4
pipes,4
requests),4
front,4
quoted,4
ignored,4
death..,4
(then,4
<VirtualHost>,4
Clients,4
print,4
Block,4
depends,4
stable,4
\these,\,4
stay,4
unix,4
supports,4
duplicate,4
IOCompletionPort,4
rewalking,3
Recall,3
\WM_CLOSE,\,3
plus,3
reference,3
I'm,3
mtime,3
follow,3
Actual,3
POLLIN,3
web,3
tested,3
style,3
Generic,3
results,3
this:,3
#endif,3
thought,3
Got,3
\root,\,3
':',3
phase:,3
(request_rec,3
500,3
APACHE_MPM_BEOS,3
hang,3
_OSD_POSIX,3
wildcard,3
Well,3
\available,\,3
\port,\,3
server's,3
query,3
confusing,3
spaces,3
declarations,3
codes,3
upon,3
Roy,3
Status,3
Win32/OS2,3
\system,\,3
Begin,3
Store,3
literal,3
ap_rgetline_core,3
CRLF,3
recent,3
map_to_storage,3
__FILE__,3
proxy,3
\descriptor,\,3
explicitly,3
Must,3
OSs,3
POLLERR,3
dump,3
decided,3
\lines,\,3
equivalent,3
toggle,3
MaxRequestsPerChild,3
cache->dir_conf_merged,3
initiate,3
queues,3
HTTPd,3
shutdown_pending,3
compiled,3
parameter,3
consistent,3
causing,3
came,3
score;,3
copied,3
map,3
thinking,3
slash,3
\context,\,3
fixup,3
gives,3
connection;,3
possibly,3
owned,3
rbb,3
range,3
N,3
NOP,3
\canonical,\,3
mpm_new_argv,3
mostly,3
window's,3
\First,\,3
non-blocking,3
Pipe,3
escaped,3
hhkCallWndProc,3
uninstall,3
4,3
I'll,3
Apache/2.0.41,3
parsing,3
verifies,3
increment,3
KQueue,3
shutting,3
sorted,3
daemons_min_free,3
ask,3
below..,3
fine.),3
*not*,3
APR_ENOSPC,3
0.0.0.0,3
id,3
queue_info->idlers,3
SIGABRT,3
operating,3
\handler,\,3
Setup,3
Death,3
regex,3
*Non*-shared,3
\non-zero,\,3
bits,3
preserve,3
appropiate,3
(You'll,3
hmm..,3
trailer,3
sometimes,3
true,3
-->,3
(where,3
MUST,3
lower,3
redirects,3
toggled,3
processor,3
End,3
(c),3
Netware,3
guaranteed,3
\small,\,3
job,3
\recursion,\,3
***,3
\ap_start_restart(),\,3
this..,3
Stop,3
initiated,3
service's,3
checked,3
eventually,3
requests_this_child,3
hashing,3
(potentially),3
survive,3
passing,3
Out,3
weren't,3
With,3
Spawn,3
\slash,\,3
\sequence,\,3
Calculate,3
Merge,3
having,3
Track,3
familiar,3
Register,3
behaviour,3
\example,\,3
request-line,3
vhosts,3
failures,3
NT/2000,3
reverse,3
efficient,3
apr_stat,3
Step,3
\merge,\,3
ap_start_restart(),3
Relieve,3
details,3
service_nt_main_fn,3
thread..,3
ptrans,3
inherit,3
bound,3
Having,3
granted,3
(Re)initialize,3
services,3
absolutely,3
TODO,3
come,3
cleaning,3
step,3
items,3
winnt_rewrite_args,3
room,3
(per_dir_result),3
SIGXFSZ,3
Continue,3
you'll,3
communication,3
issue,3
\zero,\,3
watch,3
\one,\,3
apr_parse_addr_port(),3
APR_DIR,3
packet,3
react,3
non-NULL,3
ID,3
name-vhosts,3
distribution,3
\subrequests,\,3
Should,3
os2,3
insure,3
please,3
restart_pending,3
compared,3
dir_conf_merged,3
expect,3
MAX_THREAD_LIMIT,3
supplied,3
EOF,3
dynamic,3
installed,3
_this_,3
circumstances,3
bindprocessor(),3
Run,3
Previously,3
service.c,3
\use,\,3
proceed,3
ap_queue_info_wait_for_idler,3
Provide,3
/'s,3
i.e,3
child.c,3
ap_configfile_t,3
\pids,\,3
hack,3
fully,3
quoted-pair,3
interfaces,3
shutdown/restart,3
primary,3
reliable,3
apply,3
let's,3
hooked,3
debugging..,3
potential,3
terminal,3
\SIGHUP,\,3
Restart,3
(we,3
ONE_PROCESS,3
\immediately,\,3
asked,3
POSIX,3
filenames,3
Attempt,3
\future,\,3
optimized,3
calling,3
keepalive,3
tack,3
stability,3
\r->per_dir_configs,\,3
Portions,3
others,3
readable,3
OK,3
APACHE_OS_UNIX,3
AIX,3
\characters,\,3
Optional,3
Getting,3
fields,3
default_handler,3
pattern,3
documents,3
PCRE,3
\signal,\,3
context:,3
separately,3
it..,3
\kernel,\,3
normally,3
locations,3
\changed,\,3
trie,3
Try,3
Return,3
@@@,3
globals..,3
<,3
native,3
OS/2,3
remain,3
(a,3
backslash,3
polling,3
compile,3
Pause,3
assumes,3
tries,3
placed,3
latter,3
\pdesc[0],\,3
piped,3
retains,3
\disabled,\,3
acts,3
hence,3
sig_term(),3
executing,3
retrieve,3
At,3
\not,\,3
drive,3
follows,3
wouldn't,3
lookups,3
invalid,3
obscure,3
somehow,3
Variables,3
flip,3
Leave,3
magic,3
ToDo:,3
iteration,3
page,3
mark,3
shmem,3
now..,3
conf,3
\way,\,3
timestamp,3
situation,3
\scoreboard,\,3
approach,3
tend,3
stuff..,3
usual,3
MAX_SERVER_LIMIT,3
ap_regex_t,3
impossible,3
http,3
compare,3
readability,3
\local,\,3
addr,3
serviced,3
REALLY_FIRST,3
16,3
general,3
buy,3
ap_meets_conditions,3
unset,3
Report,3
\bytes,\,3
SIGXCPU,3
lying,3
entered,3
Prepare,3
\gracefully,\,3
void,3
highest,3
moving,3
wide,3
seg,3
\exits,\,3
swap,3
high,3
rewritten,3
\Thus,\,3
Content-MD5,3
rid,3
points,3
turns,3
parsed,3
processed,3
like:,3
rely,3
\So,\,3
full-context,3
attempted,3
Prefork,3
cast,3
\buffer,\,3
hint,3
signaling,3
prefer,3
Default,3
folding,3
fact,3
starved,3
cpu,3
encounters,3
aspects,3
stage,3
shortage,3
tear,3
\nonzero,\,3
controlling,3
stab,3
\item,\,3
acceptable,3
ASCII,3
Used,3
\unblocked,\,3
often,3
capture,3
accumulated,3
sequence,3
Old,3
replaced,3
ahead,3
occurs,3
reserve,3
rerun,3
\handle,\,3
\configuration,\,3
\be,\,3
\busy,\,3
\read,\,3
exit),3
1808,3
kind,3
EBCDIC,3
windows,3
affects,3
Inc,3
definition,3
vhost's,3
(this,3
While,3
end-result,3
<Directory>,3
beer,3
applying,3
\stuff,\,3
blast,3
ENETDOWN,3
expecting,3
scripts,3
library,3
matters,3
think,3
pull,3
\default,\,3
object,3
team,3
pre-connection,3
\SIGTERM,\,3
resolve,3
score,3
DAMAGES,3
BEOS,3
relying,3
strict,3
generally,3
\loop,\,3
NetWare,3
Whoops,3
Build,3
operations,3
0);,3
Client,3
large,3
apr_poll(),3
problems,3
worker's,3
unbinds,3
\listeners,\,3
idea,3
\body,\,3
\shortage,\,3
\check,\,3
now_merged,3
generic,3
standalone_main;,3
Accept,3
quickly,3
restarting,3
dealing,3
\copy,\,3
violating,3
comparison,3
keep-alive,3
util.c,2
Found,2
\on,\,2
exiting:,2
\safe,\,2
reused,2
Cambridge,2
\happened,\,2
example),2
binding,2
GET,2
\retrieved,\,2
ap_mpm_process_exiting,2
FollowSymOwner,2
interactions,2
\client,\,2
main(),2
\success,\,2
delimited,2
improvement:,2
\"\kill(ap_my_pid,\,2
they'll,2
\descriptors,\,2
underlying,2
dot,2
\options,\,2
timestamps,2
\terminated,\,2
elapsed,2
Ask,2
mid_dir_walk,2
obsolete,2
There's,2
\array,\,2
example,2
auth,2
identity,2
events:,2
process->argv[];,2
feature,2
\place,\,2
ability,2
telnet,2
basic,2
After,2
r->args,2
plug,2
implemented,2
\string"\\,2
\deleted,\,2
slept,2
Given,2
EXPRESS,2
fixed,2
decoding,2
\patches,\,2
accept_mutex,2
\proceed,\,2
Redistributions,2
moved,2
assumed,2
\apPID_shutdown,\,2
Parent,2
default_list,2
UNIVERSITY,2
LIABLE,2
Overriding,2
document,2
We'll,2
invocation,2
exceeds,2
deliver,2
purposes,2
dir_merged/file_merged,2
403,2
timer,2
coded,2
Better,2
indexing,2
3),2
USE,2
redundancy,2
Notes:,2
pain,2
signal_arg,2
along,2
alive,2
-DONE_PROCESS,2
HTTP.),2
LPARAM,2
mobile,2
Martin's,2
RST,2
AI,2
respects,2
lParam);,2
BE,2
beats,2
observing,2
r->subprocess_env,2
(catch,2
rewrite_args,2
trouble,2
total_modules,2
Hook:,2
numbers,2
APR_LNK,2
builtin,2
\"\/"\\,2
Nothing,2
Any,2
holding,2
LRESULT,2
threads',2
\id's,\,2
Nagle's,2
\exit,\,2
dealt,2
RegisterServiceProcess,2
(UNIX),2
iphash_table,2
tokens,2
ALL,2
disclaimer,2
rules,2
\hostname,\,2
grok,2
\module,\,2
semantics,2
hereby,2
signalled,2
SendMessage,2
presuming,2
counter,2
wndprop,2
Lock,2
safely,2
dink,2
whenever,2
typically,2
(including,2
\mod_logio,\,2
cross-process,2
side,2
10.1.1.1,2
pointers,2
\recycle,\,2
sorts,2
scheme,2
logoff,2
killing,2
IPC,2
defines,2
FLUSH,2
milliseconds,2
DEFAULT_PIDLOG,2
that'll,2
sanity-checks,2
testing,2
tid,2
scoreboard...,2
WARNING:,2
apps,2
timing,2
AP_MPM_WANT_RECLAIM_CHILD_PROCESSES,2
Hyde,2
lasts,2
\messages,\,2
address:port,2
legal,2
(in,2
\stack,\,2
Evaluates,2
woah,2
bogus,2
newer,2
everybody,2
note:,2
unspecified,2
ndef,2
WAIT_TIMEOUT,2
Show,2
2.2,2
Apachecon,2
\SPECIAL,\,2
waste,2
temp,2
\components,\,2
We've,2
\fail,\,2
EPoll,2
\"\get\,2
escaping),2
design,2
dispatched,2
extensions,2
\removed,\,2
gla,2
seen,2
\info,\,2
\ENOMEM,\,2
\(EOF),\,2
recurse,2
WPARAM,2
contain,2
case),2
subcontext,2
URLs,2
\problem,\,2
(no,2
mpm,2
explode,2
utf-8,2
Thau,2
synchronized,2
-DNO_DETACH),2
http_protocol.c,2
lowercase,2
Re-check,2
PATH_INFO,2
enters,2
basket,2
Convert,2
(!ps->quiescing),2
\'/',\,2
restart_event,2
INFO,2
recycle,2
\"\apachectl\,2
sequences,2
property,2
catching,2
\IPv4,\,2
implies,2
\them,\,2
unique,2
RFC2068,2
30,2
comes,2
syslog,2
comparisons,2
offset,2
\wParam,\,2
rewrite_args),2
NULL);,2
dropped,2
Locate,2
abort(),2
finding,2
\modify,\,2
Watch,2
(apr_sockaddr_t,2
\token,\,2
reported,2
hookwndprop,2
\broken,\,2
MD5,2
requested),2
tab,2
PostQueuedCompletionStatus(),2
unmark,2
buffering,2
manoj,2
MS,2
terminator,2
continues,2
efficiency,2
segfault),2
NO_USE_SIGACTION,2
translate,2
understand,2
sig_coredump,2
*this*,2
Win9xConHook,2
\elsewhere,\,2
PURPOSE,2
infinity,2
gcc,2
afterwards,2
ints,2
getpid,2
Rewrite,2
ap_add_module(),2
'apache,2
material,2
\Now,\,2
slurp,2
'.',2
advertising,2
aaron,2
sleeping,2
stripping,2
\Additionally,\,2
application,2
removes,2
chains,2
definitely,2
awakened,2
\r,\,2
Display,2
select(),2
putting,2
